id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
60,Money Matters,Episode 53,96.97,Business,22.65,Tuesday,Evening,86.7,0.0,Positive,94.61787
61,Healthy Living,Episode 15,110.58,Health,28.32,Sunday,Morning,85.37,1.0,Negative,76.59
62,Home & Living,Episode 43,44.52,Lifestyle,55.89,Sunday,Afternoon,2.23,2.0,Neutral,16.79904
63,Fitness First,Episode 71,58.0,Health,58.95,Thursday,Morning,27.96,3.0,Positive,31.38052
64,Music Matters,Episode 69,81.13,Music,66.37,Wednesday,Evening,97.43,1.0,Negative,55.9701
65,Educational Nuggets,Episode 81,104.01,Education,37.36,Monday,Morning,85.97,0.0,Negative,64.65903
66,Market Masters,Episode 63,,Business,77.77,Wednesday,Evening,42.14,1.0,Positive,7.07583
67,Mystery Matters,Episode 13,57.93,True Crime,72.48,Saturday,Afternoon,90.0,1.0,Neutral,30.8951
68,Melody Mix,Episode 89,70.08,Music,28.49,Thursday,Afternoon,15.12,3.0,Neutral,45.50406
69,Mind & Body,Episode 3,,Health,33.46,Wednesday,Afternoon,46.23,3.0,Neutral,32.38012
70,Athlete's Arena,Episode 64,72.63,Sports,57.13,Sunday,Evening,,3.0,Positive,54.46032
71,Learning Lab,Episode 73,46.39,Education,23.12,Tuesday,Afternoon,3.86,3.0,Negative,37.53785
72,Gadget Geek,Episode 62,,Technology,80.16,Saturday,Afternoon,90.79,1.0,Neutral,33.43809
73,Business Briefs,Episode 73,22.03,Business,79.24,Monday,Evening,33.51,2.0,Positive,14.58363
74,Athlete's Arena,Episode 43,77.95,Sports,83.78,Saturday,Night,59.26,0.0,Neutral,74.06554
75,Business Briefs,Episode 20,67.87,Business,72.7,Tuesday,Night,74.19,1.0,Neutral,52.06062
76,Learning Lab,Episode 21,42.6,Education,98.32,Wednesday,Night,69.24,1.0,Negative,38.84379
77,Tech Trends,Episode 27,111.95,Technology,94.95,Thursday,Morning,95.82,3.0,Positive,82.85
78,Humor Hub,Episode 71,110.71,Comedy,41.18,Wednesday,Evening,64.88,3.0,Positive,60.57688
79,Home & Living,Episode 79,,Lifestyle,69.57,Sunday,Afternoon,65.57,1.0,Positive,21.67971
80,Athlete's Arena,Episode 79,19.56,Sports,93.77,Saturday,Night,93.09,1.0,Positive,15.12164
81,Money Matters,Episode 94,51.7,Business,25.4,Tuesday,Evening,72.7,0.0,Negative,29.6528
82,Learning Lab,Episode 81,64.91,Education,63.01,Thursday,Morning,,1.0,Negative,55.5461
83,Sports Central,Episode 80,25.34,Sports,53.3,Friday,Evening,,3.0,Positive,23.71495
84,Athlete's Arena,Episode 15,87.96,Sports,33.56,Wednesday,Evening,71.53,1.0,Positive,73.42127
85,Music Matters,Episode 23,9.73,Music,31.68,Tuesday,Morning,52.06,1.0,Neutral,6.01368
86,Home & Living,Episode 42,10.59,Lifestyle,66.78,Saturday,Night,,0.0,Positive,7.21512
87,Lifestyle Lounge,Episode 36,72.32,Lifestyle,78.69,Thursday,Evening,39.11,3.0,Negative,37.28
88,Healthy Living,Episode 86,98.53,Health,32.29,Monday,Night,89.29,2.0,Positive,64.77637
89,Mind & Body,Episode 10,,Health,78.73,Sunday,Evening,67.49,1.0,Negative,30.48609
90,Tech Talks,Episode 30,68.44,Technology,63.55,Thursday,Evening,29.12,0.0,Negative,62.51
91,Crime Chronicles,Episode 48,82.69,True Crime,59.89,Monday,Night,51.59,0.0,Negative,38.8
92,Detective Diaries,Episode 96,99.54,True Crime,58.87,Monday,Afternoon,,2.0,Negative,90.81754
93,Educational Nuggets,Episode 7,,Education,75.59,Monday,Morning,64.71,0.0,Negative,21.44199
94,Funny Folks,Episode 47,39.74,Comedy,29.31,Tuesday,Night,10.15,3.0,Neutral,34.82
95,Mystery Matters,Episode 40,94.45,True Crime,53.37,Friday,Afternoon,36.36,0.0,Positive,66.59645
96,Home & Living,Episode 49,60.26,Lifestyle,34.26,Friday,Evening,51.18,1.0,Neutral,48.28618
97,Global News,Episode 85,26.72,News,60.73,Monday,Afternoon,24.9,2.0,Neutral,21.17921
98,Life Lessons,Episode 67,35.51,Lifestyle,94.42,Thursday,Evening,48.02,1.0,Neutral,24.11502
99,Lifestyle Lounge,Episode 61,96.58,Lifestyle,92.15,Thursday,Morning,85.08,0.0,Positive,87.34471
100,Lifestyle Lounge,Episode 9,108.43,Lifestyle,70.93,Sunday,Afternoon,71.29,3.0,Negative,91.00125
101,Business Briefs,Episode 73,91.32,Business,91.64,Monday,Afternoon,1.81,0.0,Positive,84.68969
102,Gadget Geek,Episode 9,90.96,Technology,82.26,Tuesday,Morning,88.58,0.0,Neutral,76.2131
103,Innovators,Episode 1,59.41,Technology,78.01,Tuesday,Night,69.06,0.0,Negative,43.77043
104,News Roundup,Episode 56,60.34,News,33.44,Wednesday,Afternoon,56.25,2.0,Positive,50.67945
105,Sports Central,Episode 100,10.13,Sports,34.99,Saturday,Morning,,0.0,Positive,6.50118
106,Current Affairs,Episode 50,96.11,News,83.01,Thursday,Evening,99.14,0.0,Positive,64.28463
107,Daily Digest,Episode 96,37.31,News,57.78,Friday,Afternoon,5.62,1.0,Neutral,9.77975
108,Tech Trends,Episode 78,85.12,Technology,62.19,Friday,Morning,9.0,2.0,Positive,58.26835
109,Crime Chronicles,Episode 96,80.33,True Crime,64.13,Thursday,Evening,44.07,0.0,Positive,53.21997
110,Life Lessons,Episode 6,21.48,Lifestyle,53.04,Sunday,Night,11.78,0.0,Negative,12.46019
111,Fitness First,Episode 64,53.43,Health,78.24,Saturday,Morning,95.42,2.0,Neutral,39.36483
112,Lifestyle Lounge,Episode 38,84.42,Lifestyle,48.29,Friday,Morning,26.19,1.0,Neutral,50.90406
113,Current Affairs,Episode 44,17.94,News,96.55,Saturday,Morning,13.4,1.0,Neutral,17.94199
114,Humor Hub,Episode 21,107.82,Comedy,87.82,Saturday,Afternoon,92.52,1.0,Neutral,88.65718
115,Finance Focus,Episode 23,77.6,Business,79.63,Thursday,Morning,47.93,1.0,Negative,71.11
116,Global News,Episode 84,72.04,News,84.33,Saturday,Night,60.87,1.0,Negative,35.89692
117,Finance Focus,Episode 85,79.19,Business,37.04,Friday,Night,80.55,0.0,Negative,57.05458
118,Tech Trends,Episode 87,83.3,Technology,50.42,Friday,Evening,25.52,1.0,Negative,69.36088
119,Current Affairs,Episode 58,24.22,News,55.62,Sunday,Night,31.9,1.0,Negative,23.18091
120,Comedy Corner,Episode 57,51.66,Comedy,82.2,Saturday,Night,42.52,1.0,Neutral,45.92775
121,Fitness First,Episode 58,103.03,Health,60.52,Friday,Afternoon,92.43,1.0,Negative,75.40887
122,Business Briefs,Episode 62,109.88,Business,69.86,Wednesday,Evening,71.09,3.0,Neutral,71.08124
123,Tech Talks,Episode 12,82.96,Technology,54.33,Wednesday,Night,6.18,1.0,Neutral,67.36443
124,Study Sessions,Episode 88,6.9,Education,32.47,Friday,Morning,97.17,1.0,Negative,6.72
125,Educational Nuggets,Episode 58,85.17,Education,96.65,Sunday,Night,41.48,3.0,Negative,62.57
126,Sports Central,Episode 66,29.64,Sports,77.48,Saturday,Night,47.33,2.0,Negative,5.38321
127,Music Matters,Episode 59,64.57,Music,84.75,Thursday,Morning,,1.0,Neutral,53.49181
128,Digital Digest,Episode 39,,Technology,87.6,Tuesday,Morning,44.04,3.0,Positive,26.12058
129,Educational Nuggets,Episode 47,60.24,Education,36.01,Sunday,Morning,76.03,2.0,Positive,42.74512
130,Criminal Minds,Episode 50,24.39,True Crime,43.93,Monday,Night,,1.0,Negative,22.4307
131,Sports Weekly,Episode 89,25.74,Sports,73.72,Saturday,Morning,85.19,3.0,Negative,17.03697
132,Study Sessions,Episode 56,43.92,Education,97.29,Monday,Afternoon,8.42,0.0,Negative,41.39249
133,Gadget Geek,Episode 75,65.58,Technology,36.79,Tuesday,Evening,53.34,3.0,Positive,58.3333
134,Educational Nuggets,Episode 44,77.83,Education,63.26,Wednesday,Evening,,3.0,Negative,54.23704
135,Innovators,Episode 62,90.34,Technology,73.39,Sunday,Afternoon,,0.0,Negative,61.97271
136,Learning Lab,Episode 46,90.71,Education,68.67,Monday,Night,2.88,0.0,Neutral,79.61718
137,Laugh Line,Episode 3,37.08,Comedy,60.57,Monday,Night,67.41,1.0,Neutral,31.40736
138,Crime Chronicles,Episode 19,,True Crime,43.43,Wednesday,Afternoon,,1.0,Positive,44.05376
139,Healthy Living,Episode 33,66.87,Health,33.88,Sunday,Morning,7.38,0.0,Positive,48.82856
140,Home & Living,Episode 91,87.85,Lifestyle,82.81,Saturday,Evening,,0.0,Negative,69.38571
141,Sports Central,Episode 75,48.5,Sports,43.03,Monday,Afternoon,,2.0,Neutral,23.8348
142,Mystery Matters,Episode 50,23.74,True Crime,86.73,Friday,Afternoon,,2.0,Neutral,22.10401
143,Laugh Line,Episode 66,51.8,Comedy,81.39,Monday,Evening,91.49,2.0,Neutral,35.39081
144,Digital Digest,Episode 69,61.48,Technology,65.57,Tuesday,Morning,52.78,0.0,Negative,41.34
145,Style Guide,Episode 35,70.45,Lifestyle,65.36,Sunday,Morning,68.45,2.0,Positive,54.14297
146,Tech Talks,Episode 64,86.83,Technology,69.61,Thursday,Night,58.89,1.0,Neutral,49.88
147,True Crime Stories,Episode 42,36.06,True Crime,43.77,Saturday,Afternoon,81.93,0.0,Positive,12.72511
148,Athlete's Arena,Episode 1,78.97,Sports,30.64,Friday,Afternoon,2.4,1.0,Neutral,55.44236
149,Detective Diaries,Episode 89,40.91,True Crime,95.8,Sunday,Evening,50.6,3.0,Neutral,27.5976
150,Brain Boost,Episode 53,104.81,Education,73.16,Saturday,Morning,35.1,1.0,Positive,73.04799
151,World Watch,Episode 8,,News,45.25,Tuesday,Evening,9.72,3.0,Positive,40.93952
152,Finance Focus,Episode 58,41.7,Business,59.11,Tuesday,Afternoon,43.14,3.0,Negative,31.44217
153,Business Insights,Episode 48,80.02,Business,26.8,Sunday,Afternoon,20.68,0.0,Negative,73.22218
154,Laugh Line,Episode 90,35.21,Comedy,91.38,Tuesday,Morning,44.59,0.0,Neutral,23.5613
155,Mystery Matters,Episode 59,108.34,True Crime,64.26,Monday,Afternoon,8.37,0.0,Neutral,76.97396
156,Funny Folks,Episode 5,106.27,Comedy,39.46,Monday,Morning,20.72,1.0,Negative,84.83575
157,Finance Focus,Episode 50,5.95,Business,75.48,Tuesday,Morning,,1.0,Neutral,0.01257
158,True Crime Stories,Episode 66,42.11,True Crime,84.84,Wednesday,Morning,80.85,1.0,Negative,34.18414
159,Sports Central,Episode 4,106.4,Sports,42.62,Friday,Afternoon,33.96,1.0,Positive,72.87029
160,Fashion Forward,Episode 15,6.91,Lifestyle,47.16,Monday,Evening,15.93,1.0,Neutral,6.90383
161,Digital Digest,Episode 90,,Technology,36.69,Thursday,Evening,94.28,0.0,Positive,5.89145
162,Humor Hub,Episode 27,61.37,Comedy,77.03,Tuesday,Afternoon,50.71,2.0,Negative,45.08495
163,Melody Mix,Episode 17,117.71,Music,20.73,Saturday,Evening,87.38,0.0,Positive,91.7265
164,Comedy Corner,Episode 98,58.35,Comedy,91.68,Tuesday,Night,34.72,3.0,Neutral,26.94662
165,Life Lessons,Episode 97,45.77,Lifestyle,92.13,Saturday,Night,,2.0,Positive,28.68641
166,Funny Folks,Episode 65,54.86,Comedy,31.89,Monday,Evening,,0.0,Neutral,26.2772
167,Criminal Minds,Episode 94,45.53,True Crime,62.07,Friday,Afternoon,19.24,0.0,Neutral,44.95712
168,Market Masters,Episode 11,102.41,Business,91.78,Sunday,Night,46.3,2.0,Neutral,82.91328
169,Tune Time,Episode 54,107.59,Music,66.69,Tuesday,Night,43.41,1.0,Positive,74.36
170,Home & Living,Episode 33,9.74,Lifestyle,73.44,Saturday,Afternoon,49.74,0.0,Negative,3.13766
171,Funny Folks,Episode 51,27.14,Comedy,68.36,Tuesday,Morning,48.96,3.0,Neutral,15.93575
172,Learning Lab,Episode 99,,Education,79.73,Thursday,Night,73.54,1.0,Positive,54.52
173,Crime Chronicles,Episode 59,39.67,True Crime,66.53,Thursday,Evening,36.08,0.0,Negative,31.98916
174,Market Masters,Episode 16,42.47,Business,51.26,Wednesday,Evening,67.88,0.0,Negative,23.61634
175,Business Insights,Episode 1,116.3,Business,94.82,Sunday,Morning,27.54,1.0,Positive,87.51182
176,Current Affairs,Episode 26,18.13,News,96.85,Thursday,Morning,32.09,3.0,Negative,5.50453
177,Study Sessions,Episode 6,36.75,Education,50.61,Saturday,Afternoon,13.91,1.0,Neutral,31.91309
178,Mind & Body,Episode 37,63.9,Health,47.39,Saturday,Afternoon,57.16,2.0,Positive,39.81278
179,Joke Junction,Episode 47,113.26,Comedy,68.83,Monday,Evening,63.39,1.0,Neutral,106.76049
180,Comedy Corner,Episode 72,52.42,Comedy,48.24,Saturday,Evening,93.88,2.0,Positive,38.42
181,Game Day,Episode 15,45.95,Sports,89.15,Sunday,Evening,,2.0,Neutral,39.98581
182,Money Matters,Episode 11,108.94,Business,27.23,Saturday,Night,69.62,1.0,Negative,98.29
183,Business Insights,Episode 30,105.35,Business,99.42,Monday,Afternoon,83.93,0.0,Neutral,88.07945
184,Melody Mix,Episode 14,36.17,Music,72.13,Thursday,Morning,59.02,3.0,Negative,17.54377
185,News Roundup,Episode 61,118.67,News,70.45,Friday,Evening,20.2,0.0,Neutral,117.15
186,Daily Digest,Episode 43,7.76,News,93.73,Wednesday,Evening,76.27,0.0,Neutral,1.07053
187,Money Matters,Episode 49,29.98,Business,43.06,Monday,Morning,54.13,2.0,Positive,20.45441
188,Tech Trends,Episode 56,15.62,Technology,65.64,Monday,Afternoon,63.35,0.0,Positive,12.59967
189,Laugh Line,Episode 9,111.47,Comedy,87.26,Wednesday,Morning,64.35,1.0,Positive,93.92143
190,Study Sessions,Episode 12,43.01,Education,41.2,Saturday,Afternoon,83.02,1.0,Positive,34.78919
191,Crime Chronicles,Episode 51,103.11,True Crime,42.51,Wednesday,Night,51.44,1.0,Negative,90.18385
192,Laugh Line,Episode 33,,Comedy,25.59,Monday,Afternoon,,2.0,Neutral,52.01772
193,Finance Focus,Episode 36,12.7,Business,33.56,Sunday,Evening,8.85,1.0,Neutral,8.20391
194,Life Lessons,Episode 30,98.04,Lifestyle,37.59,Friday,Night,38.45,2.0,Neutral,54.70741
195,Tech Trends,Episode 41,56.77,Technology,96.19,Friday,Afternoon,20.48,1.0,Negative,51.91303
196,Brain Boost,Episode 18,101.44,Education,55.93,Monday,Night,41.74,1.0,Neutral,51.65057
197,Crime Chronicles,Episode 57,14.98,True Crime,39.52,Monday,Evening,79.06,1.0,Negative,4.1152
198,Mystery Matters,Episode 78,112.09,True Crime,25.91,Wednesday,Evening,88.07,1.0,Positive,108.89242
199,Study Sessions,Episode 35,51.26,Education,78.49,Tuesday,Morning,14.29,0.0,Negative,43.72
200,Mystery Matters,Episode 48,15.74,True Crime,96.19,Monday,Night,33.37,1.0,Positive,14.0393
201,Daily Digest,Episode 94,,News,99.45,Sunday,Afternoon,80.28,3.0,Negative,58.41724
202,Melody Mix,Episode 92,49.81,Music,93.69,Thursday,Night,,1.0,Positive,41.18219
203,Gadget Geek,Episode 64,32.01,Technology,23.44,Saturday,Evening,78.3,3.0,Neutral,21.95908
204,Fitness First,Episode 20,60.47,Lifestyle,39.67,Sunday,Morning,62.35,0.0,Neutral,26.60556
205,Comedy Corner,Episode 85,27.86,Comedy,77.92,Monday,Afternoon,48.93,3.0,Positive,15.8129
206,Detective Diaries,Episode 10,25.8,True Crime,27.09,Monday,Night,15.79,1.0,Negative,18.92481
207,Business Insights,Episode 95,,Business,48.74,Sunday,Morning,,1.0,Negative,12.61
208,Game Day,Episode 97,,Sports,52.75,Wednesday,Afternoon,,0.0,Neutral,33.51215
209,Music Matters,Episode 21,85.18,Music,85.61,Wednesday,Evening,96.45,1.0,Neutral,73.71758
210,Gadget Geek,Episode 99,,Technology,68.93,Monday,Afternoon,52.22,2.0,Negative,46.08001
211,Wellness Wave,Episode 64,36.11,Health,79.22,Friday,Morning,95.18,2.0,Neutral,25.61
212,Daily Digest,Episode 20,90.21,News,44.68,Sunday,Evening,,2.0,Positive,47.59923
213,Comedy Corner,Episode 48,117.19,Comedy,39.17,Tuesday,Evening,57.87,0.0,Neutral,60.94308
214,Sound Waves,Episode 12,62.63,Music,99.32,Friday,Morning,36.31,2.0,Positive,42.40937
215,Current Affairs,Episode 38,,News,45.79,Friday,Afternoon,72.21,3.0,Neutral,25.42206
216,Athlete's Arena,Episode 96,38.87,Sports,24.39,Sunday,Night,45.82,0.0,Neutral,32.58684
217,Global News,Episode 23,71.73,News,40.38,Tuesday,Evening,,3.0,Positive,50.1058
218,Sports Weekly,Episode 87,49.65,Sports,97.49,Tuesday,Evening,79.41,0.0,Negative,39.60804
219,Fashion Forward,Episode 42,34.82,Lifestyle,88.68,Sunday,Evening,14.63,0.0,Positive,16.86
220,Fitness First,Episode 83,52.86,Health,24.79,Monday,Evening,88.95,1.0,Negative,42.07359
221,Innovators,Episode 79,,Technology,90.78,Saturday,Evening,39.51,0.0,Negative,119.73
222,Athlete's Arena,Episode 10,111.1,Sports,76.68,Monday,Evening,87.1,1.0,Negative,93.35949
223,Fitness First,Episode 88,85.29,Health,45.73,Tuesday,Evening,,1.0,Neutral,68.03429
224,Melody Mix,Episode 55,94.91,Music,44.76,Wednesday,Night,,2.0,Negative,78.23625
225,Digital Digest,Episode 53,19.38,Technology,59.97,Thursday,Morning,2.67,0.0,Positive,19.11138
226,Tech Talks,Episode 29,112.75,Technology,48.35,Tuesday,Night,58.77,3.0,Negative,98.15
227,Fitness First,Episode 13,41.4,Health,93.57,Sunday,Evening,16.59,2.0,Neutral,27.36532
228,Tech Talks,Episode 44,73.98,Technology,36.02,Tuesday,Night,79.53,1.0,Neutral,66.77548
229,True Crime Stories,Episode 26,69.49,True Crime,96.53,Saturday,Night,2.2,2.0,Neutral,56.60215
230,World Watch,Episode 45,34.82,News,82.4,Tuesday,Evening,59.72,2.0,Negative,24.04159
231,World Watch,Episode 89,95.84,News,88.78,Thursday,Afternoon,66.76,1.0,Positive,85.83702
232,Humor Hub,Episode 40,52.85,Comedy,90.41,Monday,Afternoon,48.78,1.0,Positive,39.45176
233,Fashion Forward,Episode 55,92.8,Lifestyle,49.7,Tuesday,Night,86.59,1.0,Negative,83.69482
234,Mystery Matters,Episode 80,5.3,True Crime,74.48,Monday,Afternoon,34.99,0.0,Neutral,1.37338
235,Business Insights,Episode 87,10.4,Business,52.15,Thursday,Afternoon,83.19,2.0,Negative,8.44
236,Study Sessions,Episode 10,105.28,Education,63.77,Tuesday,Evening,18.84,2.0,Positive,69.52934
237,Style Guide,Episode 44,83.96,Lifestyle,67.66,Friday,Night,71.67,0.0,Positive,73.4418
238,Criminal Minds,Episode 76,23.3,True Crime,46.8,Thursday,Afternoon,16.93,0.0,Negative,6.42934
239,Style Guide,Episode 33,57.26,Lifestyle,95.07,Saturday,Morning,69.27,0.0,Neutral,50.54197
240,Business Briefs,Episode 30,24.11,Business,53.26,Friday,Night,79.59,2.0,Neutral,10.47178
241,Crime Chronicles,Episode 18,74.89,True Crime,34.43,Tuesday,Morning,56.06,2.0,Positive,36.19901
242,Fitness First,Episode 68,,Health,30.15,Saturday,Evening,12.57,1.0,Neutral,94.71082
243,Comedy Corner,Episode 69,53.49,Comedy,73.13,Saturday,Afternoon,93.42,0.0,Negative,44.58205
244,Study Sessions,Episode 61,,Education,76.58,Sunday,Afternoon,,3.0,Neutral,25.47517
245,Business Insights,Episode 87,78.15,Business,94.28,Thursday,Afternoon,22.85,0.0,Neutral,55.70281
246,Mystery Matters,Episode 45,,True Crime,74.92,Tuesday,Afternoon,,2.0,Neutral,62.94347
247,Fashion Forward,Episode 71,,Lifestyle,70.14,Monday,Morning,,2.0,Negative,9.01001
248,Sports Central,Episode 73,105.61,Sports,99.37,Tuesday,Afternoon,21.37,0.0,Neutral,61.61816
249,Money Matters,Episode 69,109.51,Business,69.75,Friday,Night,53.48,3.0,Neutral,100.3559
250,Gadget Geek,Episode 89,118.15,Technology,90.2,Saturday,Evening,,2.0,Positive,115.11
251,Tune Time,Episode 34,,Music,49.14,Tuesday,Afternoon,31.21,0.0,Positive,95.62224
252,Mind & Body,Episode 62,6.58,Health,36.94,Saturday,Evening,,0.0,Negative,5.91817
253,Melody Mix,Episode 80,10.01,Music,51.73,Wednesday,Night,87.43,0.0,Neutral,3.73483
254,Home & Living,Episode 24,33.32,Lifestyle,31.74,Tuesday,Night,8.2,0.0,Positive,11.41571
255,Style Guide,Episode 57,58.53,Lifestyle,93.89,Sunday,Morning,13.17,3.0,Negative,23.54377
256,Athlete's Arena,Episode 15,7.15,Sports,88.31,Saturday,Morning,21.41,1.0,Negative,0.0
257,Study Sessions,Episode 71,42.72,Education,79.39,Sunday,Night,,2.0,Positive,36.52
258,Daily Digest,Episode 65,81.67,News,21.43,Wednesday,Evening,87.94,1.0,Positive,68.22282
259,True Crime Stories,Episode 69,111.95,True Crime,34.3,Saturday,Night,17.09,2.0,Negative,82.06954
260,Athlete's Arena,Episode 53,101.63,Sports,79.66,Sunday,Afternoon,34.66,2.0,Negative,58.6402
